,Unnamed: 0,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
67265,80723,Anton Gdrich,M,36.0,Germany,GER,1896 Summer,1896,Summer,Athina,Cycling,"Cycling Men's Road Race, Individual",Silver
67560,81063,Dimitrios P. Golemis,M,21.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 800 metres,Bronze
69057,82822,Grantley Thomas Smart Goulding,M,22.0,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,Silver
69126,82893,Miltiadis Gouskos,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Shot Put,Silver
69683,83614,Eugne Henry Gravelotte,M,20.0,France,FRA,1896 Summer,1896,Summer,Athina,Fencing,"Fencing Men's Foil, Individual",Gold
73545,88455,Alfrd (Arnold-) Hajs (Guttmann-),M,18.0,Hungary,HUN,1896 Summer,1896,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,Gold
73546,88456,Alfrd (Arnold-) Hajs (Guttmann-),M,18.0,Hungary,HUN,1896 Summer,1896,Summer,Athina,Swimming,"Swimming Men's 1,200 metres Freestyle",Gold
78943,95166,Otto Herschmann,M,19.0,Austria,AUT,1896 Summer,1896,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,Silver
79649,96053,Georg Otto Hilmar,M,19.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
79651,96055,Georg Otto Hilmar,M,19.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
80523,97180,Fritz Hofmann,M,24.0,Germany,GER,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,Silver
80525,97182,Fritz Hofmann,M,24.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Rope Climbing,Bronze
82442,99598,"William Welles ""Bill"" Hoyt",M,20.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Pole Vault,Gold
87430,105834,Herbert Brotherson Jamison,M,20.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 400 metres,Silver
88927,107715,Alexander Viggo Jensen,M,21.0,Denmark,DEN,1896 Summer,1896,Summer,Athina,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Silver
88928,107716,Alexander Viggo Jensen,M,21.0,Denmark,DEN,1896 Summer,1896,Summer,Athina,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Gold
88930,107718,Alexander Viggo Jensen,M,21.0,Denmark,DEN,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Bronze
93569,113380,Tilemakhos Karakalos,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",Silver
93652,113465,Pantelis Karasevdas,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Military Rifle, 200 metres",Gold
94100,114041,Filippos Karvelas,M,23.0,Ethnikos Gymnastikos Syllogos,GRE,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Bronze
95030,115242,Frederick Keeping,M,28.0,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's 12-Hours Race,Silver
95309,115559,Gyula Kellner,M,24.0,Hungary,HUN,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Marathon,Bronze
96537,117038,"Spyridon P. ""Spyros"" Khazapis",M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle For Sailors,Silver
